file, author, a.occurenceRatio, a.referenceEntriesRatio, a.eldestRefDelta, a.newestRefDelta, a.firstOccurrenceRatio, isRealAuthor
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,T. Bragin,0.023529411764705882,0.025,4,4,0.8153154875717017,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,H. Levy,0.023529411764705882,0.025,4,4,0.8153154875717017,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,S. Gribble,0.023529411764705882,0.025,4,4,0.8153154875717017,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,M. Zalewski,0.023529411764705882,0.025,2,2,0.0804206500956023,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,T. Garfinkel,0.023529411764705882,0.025,7,7,0.820076481835564,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,M. Rosenblum,0.023529411764705882,0.025,7,7,0.820076481835564,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,F. Ricca,0.023529411764705882,0.025,9,9,0.805697896749522,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,P. Tonella,0.023529411764705882,0.025,9,9,0.805697896749522,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,S. Kals,0.03529411764705882,0.025,4,4,0.767093690248566,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,D. McNamee,0.023529411764705882,0.025,3,3,0.8174187380497132,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,P. Mavrommatis,0.023529411764705882,0.025,3,3,0.8174187380497132,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,N. Provos,0.023529411764705882,0.025,3,3,0.8174187380497132,false
